dataset,sequence,condition,backend,recording,rule,frames,ospa,gospa,loc2,miss2,false2,countError,outputCount
v2v_development,0006,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-02-23,negative_rejected_veto,304,5.529563380703039,10.893306755952949,4.340236685247061,67.73684210526316,81.94736842105263,1.1644736842105263,6.8125
v2v_development,0006,intermittent,GCE,testoutput_CAV_data_2022-03-17-11-02-23,original,304,5.547432849060025,10.922876787450804,2.32710535462426,66.07894736842105,87.51315789473684,1.2351973684210527,6.912828947368421
v2v_development,0006,intermittent,GCE,testoutput_CAV_data_2022-03-17-11-02-23,paired_veto,304,5.54957093344842,10.939528021075256,2.322898335394987,66.3157894736842,87.75,1.2351973684210527,6.912828947368421
v2v_development,0006,intermittent,GCE,testoutput_CAV_data_2022-03-17-11-02-23,positive_rejected_veto,304,5.547432849060025,10.934356312678078,2.32710535462426,66.07894736842105,87.75,1.231907894736842,6.916118421052632
v2v_development,0006,intermittent,GCE,testoutput_CAV_data_2022-03-17-11-02-23,negative_rejected_veto,304,5.54957093344842,10.928048495847985,2.322898335394987,66.3157894736842,87.51315789473684,1.238486842105263,6.909539473684211
v2v_development,0006,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-02-23,original,304,5.519530165479254,10.83168338710257,2.700882878056794,65.36842105263158,85.73684210526316,1.2401315789473684,6.8980263157894735
v2v_development,0006,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-02-23,paired_veto,304,5.519530165479254,10.83571790497998,2.700882878056794,65.36842105263158,85.73684210526316,1.2401315789473684,6.8980263157894735
v2v_development,0006,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-02-23,positive_rejected_veto,304,5.519530165479254,10.843135194288406,2.700882878056794,65.36842105263158,85.97368421052632,1.236842105263158,6.901315789473684
v2v_development,0006,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-17-11-02-23,negative_rejected_veto,304,5.519530165479254,10.824266097794144,2.700882878056794,65.36842105263158,85.5,1.243421052631579,6.894736842105263
v2v_development,0007,reliable,GCE,testoutput_CAV_data_2022-03-17-11-51-42,original,221,2.889940560312305,8.985144534339545,10.539414288708471,67.76470588235294,45.61085972850679,0.9864253393665159,13.14027149321267
v2v_development,0007,reliable,GCE,testoutput_CAV_data_2022-03-17-11-51-42,paired_veto,221,2.894620012094226,9.006019607496611,10.546983181825842,68.09049773755656,45.93665158371041,0.9864253393665159,13.14027149321267
