sequence,recording,frame,source,target_id,range_m,matched_2m,matched_12m
0000,testoutput_CAV_data_2022-03-15-09-54-40,119,2,103,30.44022046101243,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,120,1,1,28.80245746730699,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,120,1,7,37.52907095782681,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,120,2,103,30.612806454627854,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,121,1,1,28.77299967000739,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,121,1,7,38.93966375972564,0,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,121,2,103,30.763170623668387,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,122,1,1,28.683059634508634,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,122,2,103,30.903931460249403,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,123,1,1,28.636288148667003,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,123,2,103,31.095504305276428,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,124,1,1,28.577838582194833,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,124,2,103,31.2199854963005,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,125,1,1,28.504062298380678,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,125,2,103,31.34542374304795,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,126,1,1,28.472770700564585,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,126,2,103,31.54160016853278,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,127,1,1,28.334732634128105,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,127,2,103,31.582507092393765,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,128,1,1,28.254884059933854,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,128,2,103,31.81403547080248,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,129,1,1,28.144772111052745,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,129,2,103,31.9195044087947,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,130,1,1,28.03453211353719,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,130,1,12,33.52782527339622,1,1
