mode,condition,frame,robot,phase,left_count,right_count,common_labels,same_labels,exact,maximum_existence_difference,maximum_mean_difference,maximum_covariance_difference,equal
nominal,reliable,18,1,fused,65,75,63,False,False,0.3176531185124756,3.711038669334947,31.577025441498137,False
nominal,reliable,18,1,target_local,10,42,10,False,False,0.5321473418875755,3.711038669334953,3.0408634011006086,False
nominal,reliable,18,1,target_posterior,10,42,10,False,False,0.3176531185124756,3.711038669334947,3.04086340110058,False
nominal,reliable,18,2,predicted,58,68,55,False,False,0.1663341903566709,4.140413095241108,0.0,False
nominal,reliable,18,2,local,13,11,10,False,False,0.0123973450555645,0.4995939276946091,1.6770470528906056,False
nominal,reliable,18,2,posterior,63,73,60,False,False,0.3176531185124756,3.711038669334947,26.554712586884065,False
nominal,reliable,18,2,fused,65,75,62,False,False,0.3176531185124756,3.711038669334947,26.554712586884065,False
nominal,reliable,18,2,target_local,1,0,0,False,False,0.0,0.0,0.0,False
nominal,reliable,18,2,target_posterior,10,42,10,False,False,0.3176531185124756,3.711038669334947,3.04086340110058,False
nominal,reliable,19,1,predicted,73,83,71,False,False,0.3144765873273508,3.711038669334947,0.0,False
nominal,reliable,19,1,local,71,81,69,False,False,0.7275239742311512,3.692304460731297,23.213494292281652,False
nominal,reliable,19,1,posterior,71,81,69,False,False,0.5156152191770157,4.000389304942342,25.988097665517685,False
nominal,reliable,19,1,fused,71,81,69,False,False,0.5156152191770157,4.000389304942342,25.988097665517685,False
nominal,reliable,19,1,target_local,4,43,4,False,False,0.7275239742311512,2.9537700545847265,1.2693560160817938,False
nominal,reliable,19,1,target_posterior,4,43,4,False,False,0.5156152191770157,2.953770054584723,1.2651174007392818,False
nominal,reliable,19,2,predicted,63,73,60,False,False,0.3144765873273508,3.711038669334947,0.0,False
nominal,reliable,19,2,local,13,16,12,False,False,0.3144765873273508,2.7998216868041714,26.554712586884065,False
nominal,reliable,19,2,posterior,71,81,68,False,False,0.5156152191770157,4.000389304942342,25.988097665517685,False
nominal,reliable,19,2,fused,71,81,68,False,False,0.5156152191770157,4.000389304942342,25.988097665517685,False
