dataset,sequence,condition,backend,recording,rule,frames,ospa,gospa,loc2,miss2,false2,countError,outputCount
v2v_development,0001,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-15-10-29-43,joint_mark,114,4.487199868596876,4.329729410357749,0.8846721147567103,18.94736842105263,21.473684210526315,0.5263157894736842,0.8421052631578947
v2v_development,0001,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-15-10-29-43,conditional,114,4.802989342281086,4.614642072107077,0.8846721147567103,18.94736842105263,24.63157894736842,0.5526315789473685,0.8859649122807017
v2v_development,0001,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-15-10-29-43,joint,114,4.592463026491612,4.434946621455862,0.8846721147567103,18.94736842105263,22.736842105263158,0.5263157894736842,0.8596491228070176
v2v_development,0002,reliable,GCE,testoutput_CAV_data_2022-03-15-10-29-43,original,144,3.898063466473439,3.4631169682768452,0.08438529492901009,22.5,10.5,0.2916666666666667,0.5694444444444444
v2v_development,0002,reliable,GCE,testoutput_CAV_data_2022-03-15-10-29-43,joint_mark,144,3.8980627548676017,3.4631162598027183,0.08438475230721929,22.5,10.5,0.2916666666666667,0.5694444444444444
v2v_development,0002,reliable,GCE,testoutput_CAV_data_2022-03-15-10-29-43,conditional,144,3.9817988151450456,3.528852944434853,0.09069317865250891,21.0,12.0,0.3333333333333333,0.6111111111111112
v2v_development,0002,reliable,GCE,testoutput_CAV_data_2022-03-15-10-29-43,joint,144,3.997021608580664,3.534377422163347,0.08793470840947415,21.5,11.5,0.3194444444444444,0.5972222222222222
v2v_development,0002,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-15-10-29-43,original,144,3.9269747205540946,3.4676263209915614,0.08554200387392989,22.5,10.5,0.2916666666666667,0.5694444444444444
v2v_development,0002,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-15-10-29-43,joint_mark,144,3.926974720554094,3.4676263209915614,0.08554200387392939,22.5,10.5,0.2916666666666667,0.5694444444444444
v2v_development,0002,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-15-10-29-43,conditional,144,4.002056148388825,3.5394615833754868,0.0915624868559998,21.0,12.0,0.3194444444444444,0.6111111111111112
v2v_development,0002,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-15-10-29-43,joint,144,3.902612641387034,3.467700420321837,0.08709334344157299,22.0,11.0,0.2916666666666667,0.5833333333333334
v2v_development,0002,intermittent,GCE,testoutput_CAV_data_2022-03-15-10-29-43,original,144,4.063124806782223,3.560748409955118,0.09833390700661696,22.0,11.25,0.3020833333333333,0.5868055555555556
v2v_development,0002,intermittent,GCE,testoutput_CAV_data_2022-03-15-10-29-43,joint_mark,144,4.063124860498619,3.5607484653995534,0.09833402449506698,22.0,11.25,0.3020833333333333,0.5868055555555556
