sequence,recording,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError
0003,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence_decoupled_consensus,198,6.1291811116374255,15.259245179528042,12.747572552618092,241.8181818181818,56.36363636363637,3.111111111111111
0003,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence_fixedx_000,198,6.441638637062408,16.001737535329905,12.334203728057698,267.27272727272725,56.72727272727273,3.409090909090909
0003,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence_fixedx_050,198,6.456069593677723,16.06279164796104,11.785500046009801,264.0,60.72727272727273,3.378787878787879
0003,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence_fixedx_100,198,6.402551965558187,15.996742576982035,11.981969751528563,258.90909090909093,62.18181818181818,3.287878787878788
0003,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence_fixedx_125,198,6.410933031235427,15.910385765491409,12.293293348229309,254.54545454545453,61.81818181818182,3.2626262626262625
0003,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_gaussian_evidence_decoupled_all,198,6.5806124611437955,16.035608136152455,10.202548269194697,265.09090909090907,58.36363636363637,3.361111111111111
0003,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_gaussian_evidence_decoupled_positive,198,6.623450128476563,16.173265854526623,10.329884505107227,262.1818181818182,60.54545454545455,3.3207070707070705
0003,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_gaussian_evidence_decoupled_negative,198,6.697515910738188,16.254131907839966,9.61669188124444,270.3636363636364,60.36363636363637,3.462121212121212
0003,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_gaussian_evidence_decoupled_consensus,198,6.597460365474214,16.052140803812417,10.38887389071797,262.3636363636364,58.54545454545455,3.330808080808081
0003,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_gaussian_evidence_fixedx_000,198,6.870742186404286,16.775442318895923,12.817013267732309,274.72727272727275,66.36363636363636,3.515151515151515
0003,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_gaussian_evidence_fixedx_050,198,6.838631512818784,16.717800604630426,12.941637370932055,272.90909090909093,66.0,3.5202020202020203
0003,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_gaussian_evidence_fixedx_100,198,6.87204472165526,16.800830051545827,12.207182903635848,276.72727272727275,66.54545454545455,3.5505050505050506
0003,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_gaussian_evidence_fixedx_125,198,6.867801225816639,16.7891185112238,12.089985823027236,275.8181818181818,66.72727272727273,3.5303030303030303
0004,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence_decoupled_all,180,5.2105117583289005,21.12263734432975,60.11430260624507,364.8,40.8,4.5
0004,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence_decoupled_positive,180,4.999901098481437,20.57764831870134,60.53255976295811,331.2,48.8,3.922222222222222
0004,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence_decoupled_negative,180,5.209797582411137,21.12609412472091,60.726003943220974,364.4,40.8,4.4944444444444445
0004,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence_decoupled_consensus,180,5.099274653522001,20.85609457845645,61.78726255060816,345.2,45.2,4.166666666666667
