sequence,condition,truth_id,frame,robot,arm,preprune_components,retained_components,sum_r,max_r,probability_effective_count,born_in_last_ten_frames,total_retained_components,matched
v2xt_0001,reliable,5,79,1,marked_gaussian_evidence,194,194,0.5863641517383723,0.003179258898150218,190.98282262974706,32,218,False
v2xt_0001,reliable,5,79,2,marked_gaussian_evidence,194,194,0.5863641517383723,0.003179258898150218,190.98282262974706,32,218,False
v2xt_0001,reliable,5,80,1,marked_gaussian_evidence,195,195,0.5692730589213655,0.0030669583996152092,192.06071756717583,31,223,False
v2xt_0001,reliable,5,80,2,marked_gaussian_evidence,195,195,0.5692730589213655,0.0030669583996152092,192.06071756717583,31,223,False
v2xt_0001,reliable,5,81,1,marked_gaussian_evidence,196,196,0.5865663854305108,0.0031276134497601215,193.59126701678193,29,225,False
v2xt_0001,reliable,5,81,2,marked_gaussian_evidence,196,196,0.5865663854305108,0.0031276134497601215,193.59126701678193,29,225,False
v2xt_0001,reliable,5,82,1,marked_gaussian_evidence,202,202,0.5989026465395424,0.003088615272836834,199.69632135735807,29,225,False
v2xt_0001,reliable,5,82,2,marked_gaussian_evidence,202,202,0.5989026465395424,0.003088615272836834,199.69632135735807,29,225,False
v2xt_0001,reliable,5,83,1,marked_gaussian_evidence,206,206,0.6082313077773165,0.0030752209004210594,203.62656735228765,29,230,False
v2xt_0001,reliable,5,83,2,marked_gaussian_evidence,206,206,0.6082313077773165,0.0030752209004210594,203.62656735228765,29,230,False
v2xt_0001,reliable,5,84,1,marked_gaussian_evidence,208,208,0.6116802727574931,0.0030538461864370926,205.71910070706988,27,229,False
v2xt_0001,reliable,5,84,2,marked_gaussian_evidence,208,208,0.6116802727574931,0.0030538461864370926,205.71910070706988,27,229,False
v2xt_0001,reliable,5,85,1,marked_gaussian_evidence,211,211,0.6354414171401576,0.0031248924840777477,208.68731567787202,26,233,False
