separation_in_sigma,eta,kla_r,mil_r
1.59,0.7290503369814542,0.7446505143231102,0.8
1.6,0.7261490370736908,0.7438915672657401,0.8
1.61,0.7232412018083163,0.7431263703843496,0.8
1.62,0.7203270024547548,0.7423548975061558,0.8
1.6300000000000001,0.7174066100708013,0.7415771223832105,0.8
1.6400000000000001,0.7144801954864034,0.7407930186955048,0.8
1.6500000000000001,0.7115479292875366,0.7400025600541424,0.8
1.6600000000000001,0.7086099818001768,0.7392057200045798,0.8
1.67,0.7056665230743688,0.7384024720299371,0.8
1.68,0.7027177228683977,0.7375927895543796,0.8
1.69,0.6997637506330588,0.7367766459465692,0.8
1.7,0.6968047754960348,0.7359540145231904,0.8
1.71,0.6938409662463759,0.7351248685525469,0.8
1.72,0.6908724913190898,0.7342891812582346,0.8
1.73,0.6878995187798392,0.7334469258228882,0.8
1.74,0.684922216309753,0.7325980753920053,0.8
1.75,0.6819407511903481,0.7317426030778456,0.8
1.76,0.6789552902885679,0.73088048196341,0.8
1.77,0.6759660000419371,0.7300116851064969,0.8
1.78,0.6729730464438339,0.7291361855438394,0.8
1.79,0.669976595028884,0.728253956295322,0.8
1.8,0.6669768108584744,0.7273649703682803,0.8
1.81,0.663973858506392,0.726469200761882,0.8
1.82,0.6609679020445866,0.7255666204715916,0.8
1.83,0.6579591050290597,0.7246572024937197,0.8
1.84,0.6549476304858832,0.7237409198300566,0.8
1.85,0.6519336408973453,0.7228177454925933,0.8
1.86,0.6489172981882296,0.7218876525083279,0.8
1.87,0.6458987637122254,0.7209506139241607,0.8
1.8800000000000001,0.642878198238472,0.7200066028118772,0.8
1.8900000000000001,0.6398557619382391,0.7190555922732214,0.8
1.9000000000000001,0.6368316143717431,0.718097555445058,0.8
1.9100000000000001,0.6338059144751018,0.7171324655046276,0.8
1.92,0.6307788205474283,0.7161602956748914,0.8
1.93,0.6277504902380653,0.7151810192299699,0.8
1.94,0.6247210805339621,0.7141946095006757,0.8
1.95,0.6216907477471932,0.7132010398801379,0.8
1.96,0.6186596475026225,0.7122002838295246,0.8
1.97,0.6156279347257119,0.7111923148838578,0.8
1.98,0.6125957636304771,0.7101771066579268,0.8
1.99,0.6095632877075906,0.709154632852298,0.8
2.0,0.6065306597126334,0.7081248672594217,0.8
2.0100000000000002,0.6034980316544963,0.7070877837698374,0.8
2.02,0.6004655547839323,0.7060433563784785,0.8
2.0300000000000002,0.5974333795822595,0.7049915591910754,0.8
2.04,0.5944016557502186,0.7039323664306597,0.8
2.05,0.5913705321969812,0.702865752444168,0.8
2.06,0.5883401570293147,0.7017916917091471,0.8
2.07,0.5853106775409014,0.7007101588405608,0.8
2.08,0.5822822402018133,0.6996211285976984,0.8
2.09,0.5792549906481446,0.6985245758911861,0.8
2.1,0.5762290736717999,0.6974204757900997,0.8
2.11,0.5732046332104437,0.6963088035291827,0.8
