time,receiver,formation,birthTime,birthLocation,weightedInputLogOdds,spatialLogNormalizer,preEtaExistence,fusedExistence,retained,selectedForOutput,mixtureUsed,fallbackReason
151,7,2,1,1,7.96624161651,-0.252771916313,0.999653139729,0.999553430882,1,1,0,powered-gm-normalizer-exceeds-one
151,7,2,1,2,6.94312208903,-0.126665492012,0.999035679524,0.998905602826,1,1,0,powered-gm-normalizer-exceeds-one
151,7,2,1,3,6.35634201397,-0.169981976749,0.998267303154,0.997946922158,1,1,0,powered-gm-normalizer-exceeds-one
151,7,2,1,4,6.65836824789,-0.06606871054,0.998718406001,0.998630992812,1,1,0,powered-gm-normalizer-exceeds-one
151,7,2,1,5,-4.16007909331,-0.661945522075,0.0153665088076,0.00798617901304,0,0,0,
151,7,2,1,6,-4.27123051827,-0.533157979067,0.0137722648776,0.00812711870472,0,0,0,
151,7,2,1,7,-1.11679357166,-0.000832463425041,0.24660652734,0.246451895132,1,0,0,
151,7,2,1,8,-4.21518477906,-0.444084762966,0.0145546265026,0.00938447706553,0,0,0,
151,7,2,1,9,-4.56852794482,-9.66683835912e-06,0.0102667195099,0.0102666212826,1,0,0,
151,7,2,1,10,0.650335878764,-0.197458144706,0.657086148193,0.611323222758,1,1,0,
151,7,2,1,11,0.571358467469,-0.27958213224,0.639076575302,0.572430953483,1,0,0,
151,7,2,1,12,-3.0951958632,-0.274747717147,0.043305856417,0.0332481222708,1,0,0,
151,7,2,1,13,-4.46097433109,-9.39104941367e-06,0.0114191988593,0.0114190928461,1,0,0,
151,7,2,1,14,-4.49853595909,-1.67119790859e-05,0.0110028626303,0.0110026807754,1,0,0,
151,7,2,1,15,2.19899135502,-0.00328815229159,0.900158897656,0.899862992936,1,1,0,
151,8,2,1,1,9.16970696353,-0.149535667844,0.999895863821,0.999879069219,1,1,0,powered-gm-normalizer-exceeds-one
151,8,2,1,2,5.12804657521,-0.0683936721441,0.994106806289,0.993692277504,1,1,0,powered-gm-normalizer-exceeds-one
151,8,2,1,3,5.80068734194,-0.102000461835,0.996983651391,0.996660825446,1,1,0,powered-gm-normalizer-exceeds-one
151,8,2,1,4,4.97150530133,-0.0638482353379,0.993115027114,0.992664426452,1,1,0,powered-gm-normalizer-exceeds-one
151,8,2,1,5,-4.3320672466,4.26325641456e-14,0.0129699256114,0.0129699256114,1,0,0,
151,8,2,1,6,-4.54559769647,7.1054273576e-15,0.0105023567754,0.0105023567754,1,0,0,
151,8,2,1,7,-1.11595950682,-1.10080704729e-06,0.246761522453,0.246761317846,1,0,0,
