x,input_left_intensity,input_right_intensity,kla_intensity,mil_intensity,conditional_ga_intensity
-3.75,0.24090994572384355,4.0759503670749476e-11,1.50013376281558e-05,0.12045497288230153,0.00028207654589395637
-3.7399999999999998,0.24271142700504017,4.360357016014605e-11,1.5573789988859364e-05,0.12135571352432187,0.00029284061164586855
-3.73,0.24450192802416795,4.664142204577534e-11,1.6166470454016612e-05,0.12225096403540468,0.0003039850350682572
-3.7199999999999998,0.2462810083758824,4.9885931613278794e-11,1.6780028044398247e-05,0.12314050421288417,0.0003155220199753256
-3.71,0.24804822786673292,5.3350803118907556e-11,1.7415130064739898e-05,0.12402411396004186,0.00032746411398246314
-3.6999999999999997,0.2498031466934091,5.705062499196882e-11,1.8072462525705452e-05,0.12490157337522986,0.00033982421644060184
-3.69,0.2515453256220779,6.100092520843414e-11,1.875273057231374e-05,0.1257726628415394,0.00035261558649210604
-3.6799999999999997,0.2532743261687143,6.521823002160052e-11,1.9456658918812154e-05,0.12663716311696627,0.00036585185124788614
-3.67,0.2549897107803213,6.972012624615127e-11,2.0184992289973756e-05,0.1274948554250207,0.00037954701408529656
-3.66,0.25669104301693796,7.45253273030068e-11,2.093849586879117e-05,0.12834552154573164,0.0003937154630663145
-3.65,0.2583778877343315,7.965374324397604e-11,2.1717955750532565e-05,0.12918894390699262,0.0004083719794753485
-3.64,0.26004981126726573,8.51265549874688e-11,2.2524179403121038e-05,0.13002490567619615,0.00042353174647594784
-3.63,0.2617063816132436,9.096629300943235e-11,2.3357996133792342e-05,0.13085319085210495,0.000439210357885567
-3.62,0.26334716861661184,9.719692074726159e-11,2.4220257561978735e-05,0.13167358435690438,0.00045542382706740213
-3.61,0.2649717441529224,1.0384392298875383e-10,2.5111838098361968e-05,0.13248587212838317,0.0004721885959382285
-3.6,0.26657968231343976,1.1093439953322538e-10,2.6033635430030438e-05,0.13328984121218707,0.0004895215440910175
-3.59,0.26817055958968494,1.184971644278124e-10,2.6986571011669967e-05,0.13408527985409105,0.0005074399980310061
-3.58,0.26974395505790444,1.2656285109863304e-10,2.797159056270962e-05,0.13487197759223366,0.0005259617405237413
-3.57,0.2712994505633538,1.3516402371410464e-10,2.8989664570338172e-05,0.13564972534925893,0.0005451050200535137
-3.56,0.27283663090428206,1.443352951361982e-10,3.0041788798298183e-05,0.1364183155243087,0.000564888560390429
-3.55,0.2743550840155072,1.54113451834873e-10,3.112898480135823e-05,0.1371775420848103,0.0005853315702642487
-3.54,0.2758544011514667,1.6453758616142375e-10,3.225230044535524e-05,0.13792720065800215,0.0006064537531429683
-3.53,0.2773341770686334,1.7564923639803404e-10,3.341281043269234e-05,0.1386670886221413,0.000628275317113976
-3.52,0.27879401020717964,1.8749253502345663e-10,3.461161683316724e-05,0.13939700519733608,0.0006508169848654468
-3.51,0.2802335028717807,2.001143656586256e-10,3.584984962000117e-05,0.14011675153594755,0.0006741000037655223
-3.5,0.2816522614114396,2.1356452918102817e-10,3.712866721092635e-05,0.1408261308125021,0.0006981461560366082
-3.4899999999999998,0.28304989639822375,2.278959195230446e-10,3.844925701418463e-05,0.14152494831305984,0.0007229777690220211
-3.48,0.2844260228047977,2.431647096971555e-10,3.9812835979278014e-05,0.1422130115239812,0.0007486177255419838
-3.4699999999999998,0.28578026018064073,2.594305486200484e-10,4.122065115230631e-05,0.14289013022003563,0.0007750894743358775
-3.46,0.28711223282683573,2.7675676933822756e-10,4.267398023571353e-05,0.14355611655179626,0.0008024170405873902
-3.4499999999999997,0.2884215699693184,2.9521060928996645e-10,4.41741321522602e-05,0.1442107851322645,0.0008306250365291297
-3.44,0.2897079059304738,3.148634432721163e-10,4.5722447613024385e-05,0.14485395312266863,0.0008597386721229885
-3.4299999999999997,0.2909708802989708,3.3579102981591113e-10,4.732029968922884e-05,0.1454854403173809,0.0008897837658124537
-3.42,0.2922101380977231,3.5807377171309526e-10,4.896909438767769e-05,0.14610506922789845,0.0009207867553427877
-3.41,0.2934253299498689,3.817969914729122e-10,5.067027122957993e-05,0.14671266516583295,0.0009527747086448935
-3.4,0.2946161122426587,4.0705122253160313e-10,5.242530383252318e-05,0.14730805632485497,0.000985775334778416
-3.39,0.2957821472891459,4.3393251707924224e-10,5.423570049535252e-05,0.1478910738615392,0.0010198169949294665
