time,repair_event,fixed_route_messages,causal_route_messages,fixed_eospa,causal_eospa,fixed_rmse,causal_rmse,fixed_interformation_disagreement,causal_interformation_disagreement
125,0,46.0,48.0,124.75701757711509,122.44116276379891,8.504855998130866,7.82570426822221,145.42878217303846,140.42345228708243
126,0,46.0,48.0,124.28772324133627,122.47347269891078,8.842414690977337,7.991574683141244,141.44026322791345,134.51498580079223
127,0,46.0,48.0,123.63637612787186,121.32046152595903,10.274255792367319,8.67075130907905,145.478201003354,140.4315531194206
128,0,46.0,48.0,123.19478079261906,121.35224916495373,10.93402879090538,10.58338085291426,145.44577373765273,133.6598132949686
129,0,46.0,48.0,124.22774168507028,120.83153476042663,11.338226228524723,10.480387902787994,142.7231945895231,133.69251274494343
130,0,46.0,48.0,122.12561703343415,119.65087314873777,10.879236971207309,9.871159941350205,139.47405289307525,126.75299879134577
131,0,46.0,48.0,121.3976625117857,120.00775061816931,11.056515178023513,9.748158960367215,133.00473415125546,123.29256949621585
132,0,46.0,48.0,120.81059249064633,119.08917289893041,11.371591113472757,10.494189880569941,133.07582785791286,122.07998486361508
133,0,46.0,48.0,120.0792213268851,117.84950443031364,11.946813985708076,10.994495835735508,136.21666720586398,132.44105333131526
134,0,46.0,48.0,119.58038649019231,117.91199486724894,11.041300583393387,10.468950587045418,136.1736540942687,132.3420196260482
135,0,46.0,48.0,119.45122074169645,117.88135112335868,10.389220800404514,9.461902621863471,136.8682837670753,134.60190524101708
136,0,46.0,48.0,119.15029758034967,118.49708113332048,9.367354026731574,10.039163183253041,135.9624845328518,134.53204245853533
137,0,46.0,48.0,119.25660030151897,117.84683511552133,9.914758982053398,9.846584754718092,135.7755647143461,131.99360072767885
138,0,46.0,48.0,119.22188996814963,117.84073797042852,9.381395045616603,9.450708730040548,135.9979403019593,132.2324826830719
139,0,46.0,48.0,118.98721129524641,118.92002488483467,9.573481753750368,9.406147269052903,134.3524936043152,132.31655065627305
140,0,46.0,48.0,119.51507844740598,118.93745761491982,10.201883471196785,9.794575939412214,136.00367072666455,132.1423003855816
141,0,46.0,48.0,119.51380486206212,119.43282501463715,10.292466744673591,9.7452366583947,136.01985072601946,134.6404796173966
142,0,46.0,48.0,120.282668598584,118.97890410613469,9.809445959638177,10.246773362087609,136.00804193108635,134.52497916107293
143,0,46.0,48.0,120.46160652973117,119.02849825983442,10.322460421399635,9.58001642246978,138.7543846065635,134.5396079491069
144,0,46.0,48.0,120.30636008117308,118.13213991574771,9.369086499645087,9.36319447360088,138.5430697441187,130.46070070111227
145,0,46.0,48.0,119.89049355783591,116.56837977240097,9.465885277954007,8.911000097256656,133.7717041430163,132.22647756973126
146,0,46.0,48.0,119.1347710821459,116.41719035529349,9.435626547269377,8.0260440395945,136.53906562364634,126.73728410608327
147,0,46.0,48.0,119.43691014008787,114.65016695294185,8.786180767708872,8.468641755499592,135.14984647934844,126.80947400664184
148,0,46.0,48.0,119.94391097072169,113.66093800434986,8.800943723200474,7.926539563313578,135.16683342787496,116.23445815916564
149,0,46.0,48.0,119.90877455103993,112.27681524537654,8.39870640962132,8.010579641118193,136.52293016595007,122.36670706622995
150,0,46.0,48.0,120.71131235568755,112.28448129613417,8.251505192901677,8.148735216656641,136.51533408092232,124.59101686535972
151,1,46.0,48.0,120.56081858425587,111.52131557404265,8.66213100786814,8.202767868665802,138.0916303734223,118.30569538068256
152,0,46.0,48.0,121.25145864475438,111.10976300627986,8.649033013350417,8.681499792814357,136.25069242805205,116.67412587350344
153,0,46.0,48.0,120.56751218975917,110.83822396052359,8.8050975351646,9.186730575945973,136.24849963636544,113.01880216799357
154,0,46.0,48.0,121.0626476033305,111.48460964455249,9.230567190410145,9.334365627755398,140.65347456851578,116.58488382936149
155,0,46.0,48.0,121.72951825709083,111.20755392515777,8.19765890069422,9.144190895129631,140.58950441224817,112.99496344539114
156,0,46.0,48.0,121.33385710474683,110.62499393944155,8.565340301506016,9.51685500473539,137.5293775442111,112.3872317726185
157,0,46.0,48.0,121.16878109199952,109.85665492127936,8.858638436837337,10.028237038959713,135.30842217994172,107.32394229915991
158,0,46.0,48.0,121.67779617630578,109.92888841737319,8.610973084601708,10.262236393263873,134.12016174943756,110.90279619184929
159,0,46.0,48.0,121.73771893471371,109.38318465138538,8.75810527922552,10.675790068275631,135.38008933811844,108.58634867943408
160,0,46.0,48.0,122.22791681850676,108.89997285403153,8.419452376473211,11.159424041136218,139.33300694266617,112.23492680078103
