cohort,sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,matched_sse,matched_support,raw_bytes,wire_bytes
development,0003,intermittent,confirmation_recency,198,6.865624403743065,16.956122655267063,13.885789137636603,240.54545454545453,87.81818181818181,3.101010101010101,5498.7724985041,2393,4183696,6866432
development,0003,intermittent,mil_support,198,7.366859223333009,18.15003112084807,18.389845929777284,240.0,114.18181818181819,3.3333333333333335,7282.378988191805,2396,7803520,10618368.0
development,0003,intermittent,tc_ospa2_w5,198,7.235567851403623,17.935808220667777,17.715305330740847,228.54545454545453,113.27272727272727,3.090909090909091,7015.260910973382,2459,1145392,6538752.0
development,0003,intermittent,tc_ospa2_w10,198,7.3278065016860525,17.896801338654,18.327141047281753,244.72727272727272,95.81818181818181,3.1742424242424243,7257.547854723577,2370,2237808,6538752.0
development,0003,reliable,local,198,7.85888133250079,18.646702652038677,17.62466523969496,306.0,76.0,3.926767676767677,6979.367434919208,2033,0,0
development,0003,reliable,lineage,198,6.764673970308532,16.872110395080476,13.635836040560225,242.9090909090909,85.0909090909091,3.1616161616161618,5399.79107206184,2380,5408608,8488448.0
development,0003,reliable,qualified_exist,198,6.463879887487626,16.1948360384673,12.856196833214042,221.0909090909091,86.9090909090909,2.8434343434343434,5091.053945952757,2500,5343120,8816128
development,0003,reliable,innovation_recency,198,6.502088568641911,16.259943997594917,12.27587629391434,224.36363636363637,86.18181818181819,2.8686868686868685,4861.247012390083,2482,4637232,7128576
development,0003,reliable,conservative_recency,198,6.515857585197131,16.268316751834167,15.978418390343302,244.72727272727272,71.27272727272727,3.1464646464646466,6327.453682575942,2370,5232224,7800320
development,0003,reliable,confirmation_recency,198,6.719260914676204,16.779135449485366,14.279763463052678,232.36363636363637,89.45454545454545,3.0656565656565657,5654.786331368861,2438,5874112,10061312
development,0003,reliable,mil_support,198,6.927949345727475,17.51699512868055,23.559502540685774,221.45454545454547,112.0,3.015151515151515,9329.563006111577,2498,9040080,11732480.0
