condition,arm,frame,robot,previous,births,predicted,local,local_pruned,received,pre_fusion_prune,fusion_pruned,retained,local_lost_at_fusion,remote_only_retained,delta
reliable,marked_gaussian_evidence_known_censor,131,2,44,1,45,12,33,True,56,4,52,2,42,8
reliable,marked_gaussian_evidence_known_censor,132,1,54,13,67,62,5,True,62,5,57,5,0,3
reliable,marked_gaussian_evidence_known_censor,132,2,52,1,53,16,37,True,62,5,57,5,46,5
reliable,marked_gaussian_evidence_known_censor,133,1,57,13,70,65,5,True,65,1,64,1,0,7
reliable,marked_gaussian_evidence_known_censor,133,2,57,0,57,12,45,True,65,3,62,1,51,5
reliable,marked_gaussian_evidence_known_censor,134,1,64,13,77,65,12,True,65,6,59,6,0,-5
reliable,marked_gaussian_evidence_known_censor,134,2,62,0,62,16,46,True,65,7,58,6,48,-4
reliable,marked_gaussian_evidence_known_censor,135,1,59,12,71,69,2,True,69,3,66,3,0,7
reliable,marked_gaussian_evidence_known_censor,135,2,58,1,59,14,45,True,69,6,63,3,52,5
reliable,marked_gaussian_evidence_known_censor,136,1,66,12,78,73,5,True,73,6,67,6,0,1
reliable,marked_gaussian_evidence_known_censor,136,2,63,1,64,16,48,True,73,8,65,6,55,2
reliable,marked_gaussian_evidence_known_censor,137,1,67,13,80,66,14,True,66,2,64,2,0,-3
reliable,marked_gaussian_evidence_known_censor,137,2,65,0,65,15,50,True,66,10,56,2,43,-9
